Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
USA,United States,1800,7,3,4,4
USA,United States,1801,7,3,4,4
USA,United States,1802,7,3,4,4
USA,United States,1803,7,3,4,4
USA,United States,1804,7,3,4,4
USA,United States,1805,7,3,4,4
USA,United States,1806,7,3,4,4
USA,United States,1807,7,3,4,4
USA,United States,1808,7,3,4,4
USA,United States,1809,9,0,9,9
USA,United States,1810,9,0,9,9
USA,United States,1811,9,0,9,9
USA,United States,1812,9,0,9,9
USA,United States,1813,9,0,9,9
USA,United States,1814,9,0,9,9
USA,United States,1815,9,0,9,9
USA,United States,1816,9,0,9,9
USA,United States,1817,9,0,9,9
USA,United States,1818,9,0,9,9
USA,United States,1819,9,0,9,9
USA,United States,1820,9,0,9,9
USA,United States,1821,9,0,9,9
USA,United States,1822,9,0,9,9
USA,United States,1823,9,0,9,9
USA,United States,1824,9,0,9,9
USA,United States,1825,9,0,9,9
USA,United States,1826,9,0,9,9
USA,United States,1827,9,0,9,9
USA,United States,1828,9,0,9,9
USA,United States,1829,9,0,9,9
USA,United States,1830,9,0,9,9
USA,United States,1831,9,0,9,9
USA,United States,1832,9,0,9,9
USA,United States,1833,9,0,9,9
USA,United States,1834,9,0,9,9
USA,United States,1835,9,0,9,9
USA,United States,1836,9,0,9,9
USA,United States,1837,9,0,9,9
USA,United States,1838,9,0,9,9
USA,United States,1839,9,0,9,9
USA,United States,1840,9,0,9,9
USA,United States,1841,9,0,9,9
USA,United States,1842,9,0,9,9
USA,United States,1843,9,0,9,9
USA,United States,1844,9,0,9,9
USA,United States,1845,10,0,10,10
USA,United States,1846,10,0,10,10
USA,United States,1847,10,0,10,10
USA,United States,1848,10,0,10,10
USA,United States,1849,10,0,10,10
USA,United States,1850,9,0,9,9
USA,United States,1851,9,0,9,9
USA,United States,1852,9,0,9,9
USA,United States,1853,9,0,9,9
USA,United States,1854,8,0,8,8
USA,United States,1855,8,0,8,8
USA,United States,1856,8,0,8,8
USA,United States,1857,8,0,8,8
USA,United States,1858,8,0,8,8
USA,United States,1859,8,0,8,8
